AA_ELEICAO,NM_MUNICIPIO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,Soma de QT_ELEITOR
2018,MARCO,BIBLIOTECA PÚBLICA PROFA. ZELY RIOS,"AV. PREFEITO GUIDO OSTERNO, S/N",CENTRO-SEDE,152
2018,MARCO,CÂMARA MUNICIPAL DE MARCO,"RUA RIOS, S/N",CENTRO-SEDE,366
2018,MARCO,CAPELA N. SRA. DE FÁTIMA,LOCALIDADE DE CACHOEIRA,ZONA RURAL,54
2018,MARCO,CEI MANOEL CLÓVIS RIOS,"RUA PRES. GEISEL, 209",BAIRRO ALEMAES,1344
2018,MARCO,CEI PINGO DE GENTE,PANACUÍ,DISTRITO DE PANACUI,486
2018,MARCO,CEI ZENAIDE OSTERNO RIOS,TRIANGULO DO MARCO,ZONA RURAL,669
2018,MARCO,CENTRO EDUCAÇÃO SONHO INFANTIL,RUA GOVERNADOR RAUL BARBOSA S/N,BAIRRO COQUEIRINHO,1042
2018,MARCO,CENTRO EDUCACIONAL CENECISTA SAO MANUEL,RUA PARSIFAL BARROSO 375,CENTRO-SEDE,786
2018,MARCO,CRAS JOSE RIBAMAR ROCHA,TRIÂNGULO DE MARCO,LOCALIDADE DE TRIANGULO DO MARCO,723
2018,MARCO,EEEP MONS. WALDIR,"ROD. BR 402, KM 03",LOCALIDADE DE SANTA ROSA II,344
2018,MARCO,EEF BAIXA DO MEIO,LOCALIDADE DE BAIXA DO MEIO,ZONA RURAL,439
2018,MARCO,EEF DE BAIXA DAS CARNAUBAS,LOCALIDADE DE BAIXA DAS CARNAUBAS,ZONA RURAL,207
2018,MARCO,EEF DIAMANTE,LOCALIDADE DE DIAMANTE,ZONA RURAL,245
2018,MARCO,EEF FEIJAO BRAVO,FEIJAO BRAVO,LOCALIDADE DE FEIJAO BRAVO,492
2018,MARCO,EEF FRANCISCO FAUSTINO SILVEIRA,MARACAJA,LOCALIDADE DE MARACAJA,344
2018,MARCO,EEF FRUTUOSO MARQUES DE FREITAS,SANTA ROSA I,LOCALIDADE DE SANTA ROSA I,485
2018,MARCO,EEF GERALDO BASTOS OSTERNO,SOARES,SOARES - POVOADO,298
2018,MARCO,EEF JOAQUIM FERNANDES PONTES,LOCALIDADE DE CANECAO,ZONA RURAL,658
2018,MARCO,EEF JOSE HELVÉCIO,"RUA DEP. NEVES OSTERNO, S/N",BARRO VERMELHO,547
2018,MARCO,EEF JOSE PEDRO DA SILVA,SANTA ROSA II,LOCALIDADE DE SANTA ROSA II,357
2018,MARCO,EEF LAGOA JOAO DE SA,LOCALIDADE LAGOA JOAO DE SA,ZONA RURAL,408
2018,MARCO,EEF MANUEL JAIME NEVES OSTERNO,MOCAMBO,LOCALIDADE DE MOCAMBO,1056
2018,MARCO,EEF MANUEL OSTERNO SILVA,AV DEPUTADO  NEVES OSTERNO S/N,CENTRO-SEDE,965
2018,MARCO,EEF MARIA JULIA NEVES,"RUA RIOS, S/N",CENTRO-SEDE,1089
2018,MARCO,EEF RAIMUNDO ERNESTO FONTELES,LOCALIDADE DE VARJOTA,ZONA RURAL,353
2018,MARCO,EEF SAGRADO CORACAO DE JESUS,RUA PARSIFAL BARROSO,BAIRRO CORACAO DE JESUS,625
2018,MARCO,EEF SAO FRANCISCO,TRIANGULO DO MARCO,LOCALIDADE DE TRIANGULO DO MARCO,681
2018,MARCO,EEF SENADOR VIRGILIO TAVORA,RUA FRANCISCO DOMINGOS S/N,DISTRITO DE PANACUI,487
2018,MARCO,EEF VIRGILIO TAVORA,PASSAGEM DAS PEDRAS,LOCALIDADE DE PASSAGEM DAS PEDRAS,406
2018,MARCO,EEFM RICARDO DE SOUSA NEVES,RUA RIOS 815,CENTRO-SEDE,1699
2018,MARCO,EEM FRANCISCO PORCIANO FERREIRA,MOCAMBO,LOCALIDADE DE MOCAMBO,913
2018,MARCO,PATRONATO MATER DEI,"RUA 7 DE SETEMBRO,S/N - CENTRO",CENTRO-SEDE,738
2018,MARCO,POSTO DE SAÚDE DA FAMÍLIA - JOÃO ARISTON DIAS,LOCALIDADE SÃO GERALDO,ZONA RURAL,219
2018,MARCO,PREFEITURA MUNICIPAL DE MARCO,"AV. PREF. GUIDO OSTERNO, S/N",CENTRO-SEDE,517
