ANO_ELEICAO,NM_MUNICIPIO,SG_PARTIDO,NM_VOTAVEL,NM_PARTIDO,QT_VOTOS
2018,ABAIARA,#NULO#,Branco,#NULO#,141
2018,ABAIARA,#NULO#,Nulo,#NULO#,269
2018,ABAIARA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,41
2018,ABAIARA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,29
2018,ABAIARA,PDT,CIRO GOMES,Partido Democrático Trabalhista,1178
2018,ABAIARA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3288
2018,ABAIARA,NOVO,JOÃO AMOÊDO,Partido Novo,3
2018,ABAIARA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,ABAIARA,PSL,JAIR BOLSONARO,Partido Social Liberal,484
2018,ABAIARA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,2
2018,ABAIARA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,ABAIARA,PATRI,CABO DACIOLO,Patriota,15
2018,ABAIARA,PODE,ALVARO DIAS,Podemos,1
2018,ABAIARA,REDE,MARINA SILVA,Rede Sustentabilidade,6
2018,ACARAPE,#NULO#,Branco,#NULO#,271
2018,ACARAPE,#NULO#,Nulo,#NULO#,463
2018,ACARAPE,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,62
2018,ACARAPE,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,169
2018,ACARAPE,PDT,CIRO GOMES,Partido Democrático Trabalhista,2327
2018,ACARAPE,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3672
2018,ACARAPE,NOVO,JOÃO AMOÊDO,Partido Novo,24
2018,ACARAPE,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,6
2018,ACARAPE,PSL,JAIR BOLSONARO,Partido Social Liberal,2346
2018,ACARAPE,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,22
2018,ACARAPE,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,ACARAPE,PATRI,CABO DACIOLO,Patriota,79
2018,ACARAPE,PODE,ALVARO DIAS,Podemos,15
2018,ACARAPE,REDE,MARINA SILVA,Rede Sustentabilidade,47
2018,ACARAÚ,#NULO#,Branco,#NULO#,727
2018,ACARAÚ,#NULO#,Nulo,#NULO#,1478
2018,ACARAÚ,DC,EYMAEL,Democracia Cristã,12
2018,ACARAÚ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,210
2018,ACARAÚ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,299
2018,ACARAÚ,PDT,CIRO GOMES,Partido Democrático Trabalhista,12521
2018,ACARAÚ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,11919
2018,ACARAÚ,NOVO,JOÃO AMOÊDO,Partido Novo,81
2018,ACARAÚ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,5
2018,ACARAÚ,PSL,JAIR BOLSONARO,Partido Social Liberal,4540
